Load (lbf),Resistance (Ohms)
8.65,1912.22569
8.658,1928.77129
8.663,1949.79412
8.668,1956.05401
8.67,1997.33089
8.672,1906.7688
8.677,2045.74339
8.682,1921.85905
8.686,2072.40277
8.693,1951.37133
8.7,1972.35599
8.707,2020.39616
8.714,2028.54394
8.718,1886.22475
8.723,1765.08245
8.728,2017.38587
8.734,1945.84871
8.742,1847.42425
8.746,1865.21413
8.756,1899.49119
8.763,1876.35336
8.773,1986.95777
8.779,1983.46907
8.785,1988.24163
8.79,1995.59172
8.793,1900.49916
8.8,1735.30685
8.805,1848.60511
8.81,1784.11409
8.817,1860.21454
8.82,1969.73554
8.825,1912.528
8.831,1853.25387
8.834,1860.03577
8.839,1861.25005
8.845,1888.27306
8.846,1923.58683
8.85,1864.91446
8.857,1762.22533
8.862,1801.53022
8.869,1860.96327
8.88,1897.96981
8.889,1852.77046
8.892,1948.1338
8.897,1972.05726
8.904,1886.19965
8.905,1904.40199
8.909,1944.2057
8.915,1858.73514
8.918,1946.30506
8.924,1887.68417
8.938,2035.61893
8.951,1899.73418
8.957,1945.54428
8.964,1778.17761
8.968,1812.37495
8.972,1845.674
8.978,1877.63357
8.98,1784.74147
8.985,1866.2232
8.991,1823.31532
8.993,1899.58336
8.995,1810.07098
8.999,1768.31752
9.005,1889.51191
9.009,1893.66364
9.021,1774.46522
9.028,2003.70544
9.037,1670.754
9.044,2008.88686
9.054,1884.1153
9.058,1831.51537
9.065,1898.9746
9.069,1896.45639
9.071,1862.0222
9.074,1723.35064
9.079,1788.49919
9.082,1815.09364
9.088,1901.22798
9.095,1654.02698
9.099,1821.78848
9.107,1883.20791
9.111,1831.94783
9.117,1774.23805
9.126,1877.99784
9.132,1866.51402
9.139,1871.10355
9.143,1965.26624
9.15,1887.67084
9.156,1635.54205
9.162,1901.02297
9.167,1853.75313
9.17,1781.78046
9.177,1851.63237
9.184,1789.04046
9.188,1915.6995
9.196,1771.1302
9.199,1714.70475
9.205,1852.45922
9.212,1881.57551
9.22,1895.0937
9.229,1848.91511
9.233,1801.39626
9.24,1783.64568
9.245,1736.22088
9.248,1832.07295
9.252,1921.83398
9.256,1909.83241
9.261,1826.96263
9.269,1904.99241
9.275,1804.98027
9.283,1757.29901
9.289,1894.47415
9.294,1814.44676
9.301,1772.00112
9.306,1849.573
9.312,1663.19408
9.317,1874.21264
9.322,1607.68832
9.329,1727.9378
9.332,1667.80209
9.337,1926.40746
9.344,1786.27879
9.347,1741.21504
9.352,1742.4361
9.36,1673.8037
9.364,1784.06929
9.37,1821.11819
9.375,1902.18904
9.378,1800.01852
9.386,1720.43379
9.391,1856.74215
9.399,1596.84767
9.406,1715.09695
9.413,1726.80879
9.419,1828.64756
9.422,1770.21616
9.428,1693.44949
9.435,1787.88498
9.441,1878.33953
9.448,1859.56987
9.452,1923.66555
9.456,1894.2594
9.462,1752.39185
9.465,1873.52002
9.473,1814.56973
9.48,1836.0819
9.483,1831.12689
9.488,1889.9926
9.492,1646.53505
9.497,1777.3354
9.506,1786.07547
9.511,1696.30193
9.516,1713.00527
9.524,1724.38238
9.531,1856.26518
9.538,1782.63012
9.541,1682.16335
9.546,1710.70869
9.55,1807.79898
9.555,1752.52407
9.563,1717.56938
9.569,1623.53951
9.576,1661.26982
9.582,1782.78746
9.586,1565.08027
9.592,1738.96644
9.598,1733.54294
9.603,1670.13958
9.612,1734.86626
9.615,1679.20736
9.62,1760.44028
9.626,1821.99437
9.63,1695.30643
9.636,1784.42868
9.641,1688.26626
9.645,1727.29506
9.655,1804.03373
9.66,1675.61648
9.668,1747.71158
9.674,1832.83372
9.68,1723.35756
9.684,1793.9739
9.686,1767.12835
9.692,1682.80733
9.699,1753.53166
9.703,1556.09704
9.71,1724.85934
9.715,1684.94802
9.719,1692.8152
9.728,1655.46179
9.733,1570.81099
9.739,1761.09931
9.745,1637.16859
9.748,1745.749
9.754,1723.33116
9.76,1637.69624
9.765,1743.45767
9.774,1831.12647
9.779,1707.13174
9.786,1795.07208
9.793,1760.16191
9.801,1903.59943
9.808,1716.99429
9.813,1823.81439
9.822,1802.09461
9.827,1837.85665
9.834,1747.03148
9.837,1772.22525
9.84,1725.70814
9.843,1763.2472
9.85,1705.62576
9.852,1760.17178
9.857,1711.50367
9.864,1619.48906
9.868,1789.6262
9.876,1724.91397
9.882,1675.02821
9.887,1610.14156
9.897,1666.88256
9.902,1692.51413
9.909,1712.07094
9.911,1640.47888
9.914,1780.26001
9.921,1655.74954
9.926,1608.66758
9.932,1642.37236
9.941,1787.2973
9.946,1700.53677
9.952,1673.36746
9.956,1654.64044
9.961,1413.79391
9.969,1698.72893
9.973,1809.98549
9.978,1661.95601
9.983,1778.43137
9.985,1644.54438
9.99,1650.29607
10,1609.02274
10,1568.30182
10.01,1890.35905
10.02,1832.86327
10.03,1826.6624
10.03,1805.68655
10.03,1714.89858
10.04,1642.69411
10.04,1695.68791
10.05,1861.16254
10.06,1650.62849
10.06,1634.22484
10.07,1683.75547
10.07,1676.6498
10.08,1704.29083
10.09,1649.39265
10.09,1626.2811
10.1,1810.29472
10.1,1741.42018
10.11,1616.11442
10.11,1613.43203
10.12,1493.89344
10.12,1711.2548
10.13,1762.72365
10.13,1556.02849
10.14,1460.63416
10.14,1676.94859
10.15,1669.04622
10.15,1699.80628
10.16,1560.01075
10.16,1649.20509
10.17,1515.9765
10.18,1675.46982
10.19,1643.98517
10.19,1613.64356
10.2,1711.42076
10.2,1678.99537
10.21,1630.11445
10.22,1589.44632
10.22,1651.86816
10.23,1579.34806
10.24,1768.00983
10.24,1719.28327
10.24,1725.05833
10.25,1645.63157
10.25,1521.12796
10.26,1685.89863
10.26,1594.52907
10.27,1632.8454
10.27,1646.34112
10.28,1825.23136
10.28,1625.54648
10.29,1554.26216
10.29,1517.52998
10.3,1680.84129
10.3,1820.97681
10.31,1608.02083
10.31,1671.75667
10.32,1775.5569
10.33,1639.74093
10.33,1568.60881
10.34,1564.53158
10.35,1495.02513
10.36,1629.59629
10.37,1583.77116
10.38,1643.12816
10.38,1610.2665
10.39,1644.38869
10.4,1661.20113
10.4,1471.48586
10.4,1591.74901
10.41,1541.00502
10.41,1589.21459
10.42,1642.22881
10.42,1679.74719
10.42,1668.74512
10.43,1546.12436
10.43,1609.48381
10.44,1535.04543
10.45,1593.31223
10.46,1554.86355
10.47,1630.23397
10.48,1667.536
10.48,1610.6268
10.49,1491.58669
10.49,1730.68595
10.49,1478.54385
10.49,1660.23322
10.5,1530.17748
10.51,1545.49966
10.51,1659.8506
10.51,1565.88578
10.52,1592.94117
10.52,1524.9984
10.53,1481.53948
10.54,1572.98576
10.55,1595.75786
10.55,1648.2304
10.55,1652.58386
10.56,1651.05483
10.56,1635.3787
10.57,1734.53155
10.57,1549.6975
10.57,1640.1593
10.58,1738.35828
10.59,1725.37021
10.61,1693.4891
10.61,1624.9764
10.62,1765.47766
10.62,1605.91583
