,Load (lbf),Resistance (Ohms)
784,4.027,3759.72108
785,4.03,3720.03138
786,4.035,3739.61699
787,4.042,3662.73885
788,4.046,3756.04
789,4.053,3718.53242
790,4.058,3733.06153
791,4.064,3688.90536
792,4.071,3751.05384
793,4.074,3737.57733
794,4.078,3737.99107
795,4.085,3651.47166
796,4.089,3744.87011
797,4.094,3724.85751
798,4.103,3731.64396
799,4.107,3733.84768
800,4.112,3784.33331
801,4.118,3696.09709
802,4.122,3525.40448
803,4.127,3656.80849
804,4.132,3562.88027
805,4.135,3708.20044
806,4.139,3600.15993
807,4.148,3703.08321
808,4.156,3639.26189
809,4.164,3509.53796
810,4.167,3607.46662
811,4.173,3603.81381
812,4.182,3624.1769
813,4.189,3603.33616
814,4.198,3573.68041
815,4.203,3581.35764
816,4.211,3520.97746
817,4.214,3531.75898
818,4.218,3522.2151
819,4.223,3524.20403
820,4.226,3507.19586
821,4.229,3455.27241
822,4.235,3436.35883
823,4.242,3560.30096
824,4.246,3649.97317
825,4.254,3454.24932
826,4.259,3363.02339
827,4.266,3549.37545
828,4.274,3424.46804
829,4.278,3420.68033
830,4.281,3486.12721
831,4.287,3464.38846
832,4.291,3632.12695
833,4.297,3429.42098
834,4.305,3451.3013
835,4.31,3467.77143
836,4.317,3549.64088
837,4.321,3590.21733
838,4.33,3505.31452
839,4.336,3437.36347
840,4.34,3346.95971
841,4.345,3556.05037
842,4.35,3436.57437
843,4.353,3383.66082
844,4.359,3505.48574
845,4.365,3475.06957
846,4.371,3497.52256
847,4.379,3534.82121
848,4.384,3379.38031
849,4.39,3529.79468
850,4.398,3452.2594
851,4.404,3443.57678
852,4.41,3557.56312
853,4.413,3494.46813
854,4.417,3337.48733
855,4.428,3504.9523
856,4.433,3486.07452
857,4.44,3492.64208
858,4.445,3460.06224
859,4.45,3387.32437
860,4.456,3436.25739
861,4.459,3534.24446
862,4.462,3458.77447
863,4.466,3344.95949
864,4.472,3367.22534
865,4.477,3392.94111
866,4.486,3506.7324
867,4.494,3419.16563
868,4.499,3395.15527
869,4.505,3415.52244
870,4.509,3335.85051
871,4.517,3317.70929
872,4.522,3329.38014
873,4.527,3349.63922
874,4.533,3348.58283
875,4.541,3350.98379
876,4.546,3298.24064
877,4.553,3333.56969
878,4.559,3330.89385
879,4.57,3185.40283
880,4.572,3341.85866
881,4.579,3257.69839
882,4.583,3340.70639
883,4.586,3435.20229
884,4.591,3260.5613
885,4.598,3122.59899
886,4.601,3323.91777
887,4.61,3199.8883
888,4.617,3339.41335
889,4.619,3330.40672
890,4.625,3299.13924
891,4.63,3375.7574
892,4.632,3355.566
893,4.637,3345.32591
894,4.643,3050.49788
895,4.646,3332.70177
896,4.651,3225.76402
897,4.659,3335.06357
898,4.665,3315.23862
899,4.67,3258.41821
900,4.675,3341.96743
901,4.679,3327.5696
902,4.685,3274.92837
903,4.692,3271.11664
904,4.701,3228.41594
905,4.71,3272.04482
906,4.714,3094.90887
907,4.722,3141.41481
908,4.726,3166.55751
909,4.73,3179.67434
910,4.735,3219.73353
911,4.737,3213.44969
912,4.74,3283.66976
913,4.747,3148.60089
914,4.752,3069.98399
915,4.76,3209.62187
916,4.767,3153.02028
917,4.77,3217.65333
918,4.779,3124.87753
919,4.79,3149.80835
920,4.798,3015.02349
921,4.803,3115.99006
922,4.811,3047.9176
923,4.819,3199.40621
924,4.825,3164.26132
925,4.833,2965.93057
926,4.835,3077.45859
927,4.836,3078.15078
928,4.839,3117.59807
929,4.844,3003.42832
930,4.846,3089.21284
931,4.851,3102.18738
932,4.86,3102.95826
933,4.862,3076.39899
934,4.864,3044.11703
935,4.868,2990.60643
936,4.872,3060.22628
937,4.878,3075.54079
938,4.888,3151.02516
939,4.893,3134.03548
940,4.898,3101.45868
941,4.906,3158.0492
942,4.91,3051.3981
943,4.914,3139.38785
944,4.921,2996.08965
945,4.927,2978.75105
946,4.936,3068.2067
947,4.942,2951.62351
948,4.95,3026.73383
949,4.956,3034.56206
950,4.964,3048.36419
951,4.972,3102.53034
952,4.978,2905.09008
953,4.985,3057.25365
954,4.989,2986.27428
955,4.994,3012.65442
