Load (lbf),Resistance (Ohms)
9.3064,2047.16836
9.3108,1825.17691
9.3135,1979.01717
9.3201,2038.00968
9.3279,1970.66449
9.3329,1987.40951
9.3414,1969.56994
9.3457,2081.27362
9.3512,1962.51864
9.3589,2001.22123
9.3647,2086.64356
9.3721,1972.20416
9.3774,2123.29621
9.3838,2132.4915
9.3921,1979.53436
9.3985,1915.06103
9.407,1952.33177
9.4118,2049.63462
9.4195,1948.53579
9.4267,2034.15292
9.4309,1932.5587
9.4362,1919.60803
9.4402,1909.33364
9.4427,2050.0719
9.4476,1829.49972
9.4557,1884.07661
9.4602,1937.24789
9.4643,2135.92524
9.4714,2051.91396
9.476,1950.35245
9.4831,2001.28332
9.4892,1863.13757
9.4927,1931.54881
9.4964,2050.04802
9.502,2096.94445
9.5063,2145.62463
9.5136,1926.89216
9.5205,1954.1403
9.5272,2062.85998
9.5351,1855.58372
9.5406,2058.90916
9.5477,1893.70411
9.555,1926.09754
9.5609,1875.09859
9.568,2002.85169
9.5723,1896.71351
9.5777,1985.67232
9.5837,2048.91931
9.588,1831.14231
9.5927,1879.43521
9.5989,1997.08649
9.6023,1966.82979
9.6075,2050.80426
9.6133,2043.48135
9.6174,1976.72784
9.6217,1838.8346
9.6279,2008.33181
9.6334,1906.05145
9.6388,1849.51584
9.6448,1958.9197
9.6471,2122.79557
9.6519,1906.56842
9.6594,1900.09818
9.6631,1910.58084
9.669,1933.12428
9.6765,1982.53857
9.6806,1991.90287
9.6862,2034.48972
9.6942,2026.29663
9.7017,2028.28189
9.7118,1799.14166
9.7174,1915.03996
9.7254,2008.5635
9.7288,1932.52738
9.7327,2048.11263
9.7395,1897.81919
9.7429,1871.23027
9.746,1888.78209
9.7501,1924.85078
9.7573,1880.69246
9.7634,2027.08135
9.77,1846.99069
9.775,1905.84227
9.7821,1927.89887
9.7902,1972.52821
9.7942,2021.17138
9.8011,2146.04149
9.8064,1853.71289
9.8106,1890.49193
9.8168,1890.08576
9.8235,1923.60145
9.8299,1868.64116
9.8353,1972.57496
9.8393,1858.61997
9.8426,1788.81601
9.8474,1766.49504
9.8527,1915.089
9.8558,1972.42457
9.8616,1939.18202
9.8686,2008.89968
9.8715,2095.88082
9.8775,2014.43901
9.8839,1892.75521
9.8874,2015.17081
9.8926,1871.99229
9.9003,1874.06592
9.9044,1913.68079
9.9107,1889.60148
9.9176,1895.58602
9.9223,2053.4949
9.9291,1897.82348
9.9372,1704.45128
9.9488,1903.32057
9.9592,2062.71312
9.9669,2007.6017
9.9708,1840.56498
9.9801,1911.66654
9.9888,2048.63378
9.9931,1768.9737
9.9969,1927.70631
9.9993,1917.84791
10.001,1860.85369
10.004,1875.75579
10.008,1871.55529
10.014,1824.03944
10.019,1827.82941
10.024,1868.42331
10.029,2026.29415
10.031,1951.68503
10.035,1910.6534
10.046,2016.63429
10.054,1897.35737
10.064,1872.87236
10.068,1916.04629
10.075,1850.70869
10.081,1870.86094
10.086,1905.89489
10.091,2062.5779
10.096,1905.60619
10.1,1960.10716
10.106,1847.85897
10.111,1807.19709
10.114,1879.39156
10.118,1834.91334
10.124,1766.6015
10.128,1772.58868
10.134,1814.14577
10.14,1809.80093
10.145,1790.2228
10.149,1867.11806
10.155,1833.09191
10.162,1922.45025
10.172,1821.56937
