Load (lbf),Resistance (Ohms)
7.85912,2430.30078
7.86729,2536.92417
7.87233,2657.94999
7.88198,2634.62335
7.8858,2649.76947
7.89211,2509.1377
7.89965,2678.65177
7.90869,2717.41546
7.91351,2639.3084
7.92131,2702.19967
7.92271,2652.11268
7.92283,2729.03235
7.92563,2732.38269
7.92596,2636.51883
7.92515,2546.93956
7.92478,2661.63506
7.92543,2722.07916
7.93078,2648.23684
7.95431,2834.80465
7.96415,2623.60347
7.98087,2679.42132
7.97822,2665.8719
7.9785,2571.42715
7.97733,2607.41447
7.98491,2709.87983
7.99103,2544.62172
7.99657,2734.16846
8.00325,2664.68356
8.01069,2548.05172
8.01808,2620.0266
8.03104,2455.46649
8.04372,2632.33138
8.04586,2647.42116
8.04881,2585.09862
8.05764,2636.25814
8.06677,2657.87396
8.06663,2495.54643
8.06985,2614.7836
8.07105,2613.71595
8.07896,2750.13541
8.09036,2694.74506
8.11108,2553.7776
8.11884,2578.23809
8.12823,2670.58037
8.1263,2561.22728
8.12617,2681.97568
8.13719,2628.63389
8.13568,2418.04825
8.1626,2535.41465
8.1723,2646.96396
8.17307,2572.35337
8.17015,2716.72825
8.16909,2563.99617
8.17131,2608.80736
8.17175,2533.8216
8.1709,2607.12896
8.18775,2368.52767
8.19721,2636.90039
8.20071,2513.12257
8.20358,2643.42916
8.21096,2441.81449
8.21554,2472.64907
8.21785,2628.22025
8.22178,2441.08429
8.22596,2483.49162
8.22987,2455.59408
8.24044,2611.35854
8.25514,2561.09842
8.25794,2570.2331
8.26097,2539.20036
8.26468,2546.88168
8.26926,2508.32598
8.27205,2596.596
8.27462,2478.53561
8.28094,2528.73071
8.30465,2495.18062
8.31502,2537.50697
8.31796,2547.34655
8.31631,2534.32129
8.31678,2513.20264
8.31562,2544.71724
8.32041,2540.60792
8.32511,2566.42083
8.32976,2517.5509
8.33193,2566.86843
8.33533,2397.37089
8.34203,2608.37918
8.34842,2414.65435
8.3528,2589.85673
8.36856,2497.499
8.37606,2578.31156
8.38279,2401.99876
8.38626,2566.9317
8.39142,2616.15059
8.39633,2546.43931
8.39989,2478.17821
8.40327,2409.91367
8.41189,2568.47226
8.41881,2439.35376
8.43298,2525.32654
8.43405,2473.74854
8.43969,2479.23341
8.44154,2572.31664
8.44326,2549.96601
8.44372,2496.48944
8.45009,2497.08566
8.45142,2295.41291
8.45725,2618.20468
8.46152,2573.94397
8.47246,2378.05485
8.48883,2589.71831
8.49623,2482.13861
8.50276,2636.48383
8.51005,2369.30597
8.52011,2368.35526
8.52305,2549.30441
8.52707,2517.2776
8.5315,2450.33923
8.53495,2480.00105
8.5397,2370.04107
8.54283,2448.53913
8.55219,2479.8733
8.55632,2422.17888
8.55858,2509.92305
8.56698,2433.65376
8.57324,2659.75071
8.57809,2404.33712
8.58442,2518.75223
8.58995,2418.6112
8.59363,2452.19478
8.59734,2624.04923
8.60145,2513.93631
8.60763,2568.38168
8.61269,2533.00626
8.6228,2605.10168
8.62935,2518.71804
8.63906,2396.46865
8.64412,2502.91891
8.64711,2500.90449
8.64902,2455.80741
8.65626,2559.82106
8.66342,2407.47466
8.67007,2354.29549
8.67554,2417.89043
8.6849,2397.34434
8.69241,2444.94697
8.6947,2378.69808
8.69699,2311.10052
8.70051,2333.63921
8.70212,2546.69389
8.70967,2398.26571
8.71735,2572.82392
8.72471,2512.37091
8.73023,2427.94576
8.73783,2446.88933
8.74797,2461.07933
8.75287,2487.62173
8.75579,2566.50574
8.75988,2414.24271
8.76322,2349.5154
8.76568,2521.17369
8.77204,2444.51839
8.77599,2547.65684
8.78261,2490.00086
8.79094,2563.75993
8.80082,2489.13209
8.80882,2358.11149
8.81738,2406.67717
8.82331,2482.73541
8.8266,2520.14358
8.8295,2435.03498
8.83265,2462.38615
8.83696,2366.34241
8.84145,2384.69916
8.84407,2453.24014
8.84909,2470.89205
8.85542,2569.49063
8.85991,2419.19874
8.86428,2442.4822
8.8705,2456.51781
8.87625,2351.15206
8.88213,2310.91484
8.88694,2412.42473
8.89537,2508.26956
8.9038,2520.11394
8.90895,2501.90707
8.91426,2507.3186
8.91814,2501.45615
8.92121,2406.90674
8.92006,2498.74116
8.92085,2394.61506
8.92102,2455.25
8.92072,2452.63989
8.92763,2489.92194
8.93496,2362.91439
8.95055,2413.20425
8.95906,2518.49656
8.96609,2453.33881
8.97222,2541.30277
8.98909,2391.15159
8.98932,2466.67871
9.00216,2390.53096
9.01129,2548.88629
9.01105,2455.58213
9.018,2451.52076
9.02702,2405.68445
9.03116,2467.205
9.03837,2250.4688
9.04753,2317.75394
9.04667,2421.99003
9.04782,2345.66273
9.06714,2356.1031
9.08849,2361.18399
9.09182,2396.49665
9.08843,2393.79056
9.08519,2416.91853
9.08323,2308.15036
9.08596,2262.74516
9.08791,2335.71041
9.08998,2378.30297
9.09577,2358.06418
9.10044,2394.41793
9.10693,2422.27262
9.1138,2360.59134
9.12424,2552.2023
9.1315,2404.83084
9.14206,2328.84683
9.15118,2466.35175
9.16055,2287.18802
9.16669,2255.69884
9.16845,2310.47408
9.17148,2448.59585
9.17396,2426.33943
9.18149,2336.82432
9.18968,2398.88034
9.19513,2276.24584
9.22419,2399.35247
9.23407,2371.6491
9.23561,2453.43693
9.23709,2477.79142
9.23604,2364.39602
9.23824,2274.3812
9.24152,2384.10805
9.24184,2412.61388
9.2441,2464.22479
9.24749,2322.80904
9.28521,2313.71132
9.29597,2497.6044
9.29828,2411.26392
9.29758,2288.07071
9.29768,2466.21728
9.29754,2294.20163
9.2954,2526.15761
9.29403,2249.36787
9.29355,2425.55952
9.29373,2349.32203
9.29459,2365.11621
9.29465,2396.1068
9.29742,2244.91897
9.30046,2224.4633
9.30309,2387.10362
9.30829,2364.99164
9.31351,2368.10474
9.31691,2384.76201
9.3222,2403.71051
9.32414,2324.47151
9.33074,2342.35203
9.3372,2197.00433
9.34227,2331.43119
9.34949,2358.24086
9.35802,2227.99825
9.36206,2281.38983
9.36833,2405.98911
9.372,2308.76144
9.37639,2315.73188
9.38237,2289.75985
9.39254,2333.51752
9.3973,2434.64864
9.40339,2388.97232
9.41082,2314.82409
9.41338,2374.44709
9.41586,2342.44134
9.41796,2324.88656
9.4227,2300.4742
9.4298,2252.95851
9.43282,2312.73846
9.439,2294.6436
9.44043,2513.1974
9.44503,2396.68308
9.4484,2369.17123
9.45231,2221.09075
9.46055,2299.17614
9.46614,2363.64654
9.47156,2134.27273
9.47985,2308.75371
9.48216,2268.69225
9.4874,2415.66597
9.491,2388.25715
9.50265,2442.17558
9.50869,2272.07525
9.51499,2308.63763
9.5221,2300.93097
9.5264,2260.79864
9.53608,2293.22571
9.53749,2175.87801
9.5388,2289.94248
9.54279,2250.80289
9.55331,2364.41151
9.56628,2259.87552
9.57077,2381.96847
9.57379,2230.15
9.57819,2231.31985
9.58446,2237.66876
9.58846,2318.61177
9.59531,2323.94999
9.60356,2260.26331
9.61285,2277.92503
9.62281,2241.28215
9.63042,2292.14292
9.63554,2267.77635
